1000th Video!!!|JFWchElNxHA
Tech Talks with James #1|Gfu0VJ-yEqc
Tech Talks with James #2 A Talk About C Programming|CPoahQpvz8c
Tech Talks with James #3 Do One Thing and Do It Well|Q5CV7HTbuSM
Tech Talks with James #3 Do One. Thing and Do It Well.|Q5CV7HTbuSM
Tech Talks with James #4 Pointers in C Programming|TaWwMD8UONw
Tech Talks with James #5 Program Compatibility|bwXWECKpMnI
Terminal Session Recorder - Linux Shell|lq2Ao-8Ojn4
Terminator - T1000 effect in Blender - Part 1|0q-2Hz2qFDE
Terminator - T1000 effect in Blender - Part 2 - Render|pWch9mtLVZA
Terminator - T1000 effect in Blender - Part 2|uVxD-DUJtmE
Terminator - T1000 effect in Blender - Rendered|DOGTorBkRzE
Tethering N900|rtKNk79JXUI
Text Presentation Program - Linux Shell Tutorial.avi|47anPOhWCIg
Text to Speech - without Espeak- BASH|nCNmd5g215M
Text to an Image File in BASH|woWwIb5IlFc
Textures in Game Engine - Blender 2.5 - Blender 3D - Linux Part#1|BtCYyui1TA4
Textures in Game Engine - Blender 2.5 - Blender 3D - Linux Part#2|nkvINZ7hli4
Thank you for Watching!|uXhl5KAAWvk
Thanks For Calling|6qKl1WPgWkQ
The Appearance - Original Music By Kris Occhipinti|6PB0WDilupc
The Complexities to Creating Real Electronic Health Records|7Wx7HVJGwHQ
The Dance That Lasts Forever - Original Music By Kris Occhipinti|uLvKlJ6wJAY
The Development - Original Music By Kris Occhipinti|PUM7OTjBpcQ
The Distance between two objects in Blender 3D 2.6 game engine.|dxKXadifzKY
The Find Command in BASH|dRhc5u7e5CU
The Hill|09NHcyTy7t0
The Install - Original Music By Kris Occhipinti|8DUElliqt1E
The Making Of - Monitor and Hammer|uUyn4rhkEVE
The Making Of - SMash_Grab|I02ZqwLA_Xo
The Making Of Second Track|7N0dT0wKYh8
The Mixer - Original Music By Kris Occhipinti|2WI40JKSEg4
The Paste Command   Linux BASH Shell Script Tutorial|DCJPFjS_vss
The Rack - Now in OGG|RanCNQHxcmo
The Region - Track 00 - Zero|UxxtDUGpt7M
The Region - Track 01 - The Region|BIuGrDpdGDc
The Region - Track 02 - Assembly|TLWc4eixy6A
The Region - Track 05 - Zoltiniod|PBrf35gt3cc
The Region - Track 06 - The_Sound_of_Xmas|lRNjTXx1M44
The Region - Track 10 - Stock_Basic|62Hr4CAjEw8
The Region - Track 6 - Outside|aSfvypdYaA4
The Region - Track 7 - The_Giving|4c_bixOMwCM
The Region - Track 8 - Lost_in_the_Garden|9DtKqgXKxig
The Region - Track 9 - Rain_in_My_Puddle|htL6LxVpjNY
The Region - Tracks 3 Process &amp; Track 4 The ShortCut|JHG0xg8v0pM
The Reinstall ReMix - Original Music by Kris Occhipinti|Gefg_uWixSo
The Sound of Music|bgGBo9OSlKw
TheDayHeWasMade - Original Music By Kris Occhipinti|rZPMDG43YM4
TheVeryTop - Original Music By Kris Occhipinti|k9PCAsnRHqw
The_Buzz - Original Music By Kris Occhipinti|WTmCaatSBGY
The_Way - Original Music By Kris Occhipinti|KKJ881TucBo
Threading with Python and GTK GUI Part #2|voCiJrvpzqk
Threading with Python and GTK GUI Part#1|rYsTrTWF438
Time Out and Lost - Original Music By Kris Occhipinti|b3ELRR5jxZU
Time a Script - Another away of doing things - BASH - Linux|dNOtVIvfn2E
Time how Long a Program Runs - BASH - Linux|FP_sYYlwjJc
Torn in ways you dont know - Original Music by Kris Occhipinti|_GGED6H5nIw
Transferring Files Securely with SCP and SFTP - Linux|DJZbEt8KgBU
Translate Your Voice to Another Language - BASH - Linux|Ok9Aevyz7Eg
Transposing with Less Distortion using Rubberband - BASH - Linux|ziAwhziTg5U
Tubing   September 22 2013 - connection group|FWpfLL8fMwY
Tutorials into Nov. 7|wa21i2u_Xc4
UPDATE!!! HTML5 Part#1a - Video - Linux|8o14vcx3BMs
URL Requests with cURL and Chrome Console|ca3rxpMEWk0
UV Textures Across Multiple Objects - Blender 3D - Linux|20K9p0Acjbg
Underlining TEXT in your BASH script|NdgRNzRH2Q0
Underneath - Original Music By Kris Occhipinti|2K_0uDYX5Vw
Universal Sample - Original Music By Kris Occhipinti|T2zvtC3Rqxc
Uno a Mach - Original Music By Kris Occhipinti|ELodSrDv3nU
Unoconv - Converting OpenOffice Documents to Other Formats - BASH - Linux|JXTP09hLv0A
Untaring and Running Python Script|e1UxTv94VoA
Until Later - Original Music By Kris Occhipinti|A0LDrQH2dh0
Update - June 2013|BFx8RZpcRFY
Update - September 2011|f20ML8eweMo
Update Line Without Having to Clear Screen - Linux - Shell Script - BASH|AECjkS6K0N8
Update On Life #2|d9lUK1x_e8k
Update and What is up with the Private Videos|9DVWuSDTtzU
Update on Dividing Line tput - BASH - Linux|Yc1UIrz7Pf4
Update on life|nb16GqPccIs
Updates and Voting|OosbyRkC9_I
Updating youtube-dl|FXxLjLQi3Fg
Upload a File to our Forum|LodcqQDkb9s
Uploading to the Forum|Dg7zbfXDfs0
Useing mlabel to label vFat Partioned Drives in Linux - BASH|EHTtsy5Z00g
Using Binwalk To View Firmware Data From Wifi Pineapple Image on Linux|3aanPGmUkzQ
Using Eval to use a Variable as a Command - Linux Shell Script - BASH|0A4Kjr8ThJA
Using Sed to Replace Tabs in File  Linux Shell Tutorial - BASH|XAsCzhQ4S48
Using Terminator Terminal - Linux Shell|_U2Yy5B2ASU
Using Terminator Terminal - intro|C1jkzN0V8lI
Using awk like grep|mJgLSpw2ato
Using the Sponge command in BASH|ZeGzgVvBt3w
VIM - Split Screen and Navigation - Linux - Shell - BASH|sHGiC6Fp800
VIM Autocomplete Intro|rwxiN4y8Es0
VIM File Name Autocompletion - BASH - Linux|Y2Moz2TEqIQ
VIM Line Autocompletion - BASH - Linux|_Z0vzoc_Ymw
VIM Word Autocompletion - BASH - Linux|3Q94QSv7Pow
VIM tutorial with vimtutor|PhdWEQb58Q0
VOTE NOW!|Mt0YFjaiDeA
Variable String Length in BASH - Linux|IXydHJzs4TU
Vice Anson - Original Music By Kris Occhipinti|hdYlTuxEQxU
Video Editing in Linux - Capture in  Video with Kino|6KUeV2oFlX0
Video Editing in Linux - Cinelerra Cameras and Projectors|YU38NXSEkDU
Video Editing in Linux - Cinelerra Masks|8w5myJd2BRk
Video Editing in Linux - Cinelerra Part #1|jBs-biS8-y4
Video Editing in Linux - Cinelerra Part #2 effects|_8o8fToIiGo
Video Editing in Linux - Cinelerra Part #3 Title Layers|acYCiP3Tt84
Video Editing in Linux - Cinelerra Part #4|SwWhIc_FWZY
Video Editing in the Shell - MLT melt - FFMPEG - Linux 1|r4PWv0emS7A
Video Editing in the Shell Fade Transitions - MLT melt - FFMPEG - Linux 3|3PRZ9L_KLdI
Video Editing in the Shell Filters and Effects - MLT melt - FFMPEG - Linux 5|8wa5zo9Srno
Video Editing in the Shell Joining Clip - MLT melt - FFMPEG - Linux 2|q0KnhkbFl_s
Video Editing in the Shell Layer Effects - MLT melt - FFMPEG - Linux 6|fgmA99b4kKg
Video Editing in the Shell Trim Clips - MLT melt - FFMPEG - Linux 4|eQ7NzcxV3NA
Video Stabilization in Blender 3D - 2.63 - Linux|4LLrafTeU6Y
Video to GIF with Mplayer and Imagemagick - BASH - Linux|XQdZ-lMPqR0
Videos to Image Sequence - FFMPEG - BASH - Linux|b7MD4RXBjSQ
View to Large Text Mobile App for Talking to Deaf People   Android Linux   Tutorial   Jquery   JavaS|UrLSNT892VQ
Vignette with Blender Compositor - Blender 3D 2.5 - Linux|yNSMrkQ__ko
Vingettes with Imagemagick - BASH - Linux|02WnUs4J4gM
Visual Network Traffic in the Linux Shell|PHYxzC2XDJ0
Voice to Text with BASH WGET and Google - Linux|NpjMlVPvfT8
Volume Control From the Command Line - BASH Shell Script- Linux - amixer - alsa|z6V3BQJKR7A
Volume Level?  Is it time for a new mic?|fqLuAQoTPco
Voting August 2014|9dV6Z7pS-Dk
Voting Time  - June 2014|zpfp09q3qtI
WGET NIN Music from the Social Network v2|zBMXGgahqXg
WOTC PC portraits online gallery|DHaas3kLg0w
Wait Between Shots - Blender 2.5 Game Engine|YDAWsyPuMWU
WalkOutSide - Original Music By Kris Occhipinti|Zk-LIB4g0Jw
Watch What other are doing with Screen - BASH - Linux|N4IV0mNuaa0
Water Marking Video With Blender 3D|vaHHI-Xr3f4
Water Marking Video With Kdenlive|3CUvFff2zsE
Wav2PNG - Visual Wav Plot - Linux Shell - Audio|Rd80h62i8hs
Wav2PNG - Visual Wav Plot - intro|FN1N-r1dhdI
WebM with FFMPEG|3IuCsO35cIA
Webspy and Ettercap|He3GgNpDaNQ
What Do You Want to See?|sjGqPDaALEg
Where do you Work?  How Long have you been using Linux?  What is Your Favorite Game? College?|Y63gpPGlGAY
Where is this IP from - geo ip lookup - Linux Shell|dk_DF_Ls_Xs
While Loop Review - BASH - Linux|ozKpndnotto
Whisper - Original Music By Kris Occhipinti|sGI2yAo0dzk
White and Nerdy - Ember - September 14th 2012|gx0GIXFim3c
WhoOrWhat v1 - Original Music By Kris Occhipinti|mAZazn_75wY
WhoOrWhat v2 - Original Music By Kris Occhipinti|UADkmvXx0_s
Why I Use Vim   Open Source Software|kPyVirxMFvc
Why Linux is Safer than Windows or MacOS|n4PGJbDlvsU
Why is WC Giving Me a Bad Count  Linux Shell Tutorial - BASH|09Wy0ueRHxA
Window INFO with xwininfo - BASH - Linux|cJK7pSwTjaE
Wolverine - Original Music By Kris Occhipinti|32sSg7jBZaI
WoodBurning - Arduino Box|-K1y4L1UtN0
Work in Progress - Album|NxFSg7HH8w0
Working on POP Development Intro - Blender 3D|cFApaYRpN00
Working on the new House|UygpxXpaqRM
Working with ISO and IMG files in QEMU - Linux|JxSGT_3UU8w
Working with Justin TV in Linux|7sOSV1woUe4
Working with Titles and Addressbars in Python GTK and Webkit - Linux|VEMWeqc6Gd0
Working with different Window Managers - Linux|oVOUBeXTtHU
Working with jpg Metadata Comments - Exiftool - BASH - Linux Command Line|WchknYwbFJY
Working with pcap Packet Capture Files From Network Sniffing Wireshark linux tutorial|bJxA7ZkxJSU
Write to all terminals with WALL - Linux|-pFhQJqgNjo
Wrong Comments - Original Music By Kris Occhipinti|qYbC78G2Jqg
Xchat - Chating|r73c0Z4EDZs
Xcowsay - Intro|GbjLYOtdN6o
Xcowsay - Linux|cfSH7kbzOIM
Xnest - Create a new Display in a Window - Linux|BSYmajttVDw
Xorg on Android with no VNC|t2yj8QYoBhA
Yon Dan Ground - Original Music By Kris Occhipinti|_eqRF-ozcjs
YouTube-dl GUI by ProfOak - t3hubern00b|Edsszob3DVc
Youtube Downloading - Flash Problems - Nvidia - Firefox - Chrome - Linux|6AeztNIu8Z8
Youtube Outro with Blender 2.5 - Blender 3D - Linux|HVSzZhuwb8k
Youtube-dl in Slitaz - Linux|bEQnyMedo1Q
ZENMAP_Tutorial|FoIkmPg0IXo
ZynAddSubFX - Different instruments for different keys - Linux - Synth|lcXdus-LwZc
ZynAddSubFX - Layering Instruments - Synth - Linux|rW1X3q4fVIk
Zynaddsubfx - Linux Synthesizer|iVPr6iUuO3g
acollsen's IRC controlled Arduino LED|tOxq8ibQGc0
cd basics in BASH - Linux|JcCT7cbBY4o
emsjenn|AOulYO4GdsE
etch-a-sketch in Python with PyGame - Linux|uNjcIqM3ZoY
ettercap packet sniffing part 1|NmYzFuwSAPk
ettercap packet sniffing part 2|GCcELPd6LNA
ettercap to find live radio stream - Linux - BASH|8tGR2lS-F8Q
ffmpeg2theora - Convert to OGG video-audio|SwW9Ii7_puY
httpd Busybox Linux Web Server Tutorial #1|2aeS610FG20
httpd Busybox Server Side Scripts CGI BASH Linux Web Server Tutorial #2|PWMLxxzUa4g
incompetech 3D #2|01KCeYVzsuM
incompetech animation|W_rKPxGr-Z0
intro_re|hsBghO2K0-E
jQuery Mobile Tutorial 1 Fire Fighter SCBA Software Android iPhone HTML5 JavaScript|TRRCTVJ2sWI
jQuery Mobile Tutorial 2 Fire Fighter SCBA Software Android iPhone HTML5 JavaScript|mop0_qod7ZY
jQuery Mobile Tutorial 3 Fire Fighter SCBA Software Android iPhone HTML5 JavaScript|ndRjrzxNAKQ
lsb_release - What Distro and Release Version are You Running - Linux - Shell Script - BASH|MfLoV_lQRg8
lsof network connections - BASH Quick Tip - Linux.avi|2pP-l4Uz8fs
menlugintro|pKzmgklykOg
php While Loops|iGtbW4P2fYg
php_tutorial-1|rhboAp_TnYQ
php_tutorial-2|5uxiOEZrfmg
php_tutorial-If Else Statements|F_z_B-2q8LE
pygame - part 10 - Screen Shots|nGVV1U6KBfo
pygame - part 11 - Move Image with Mouse|cJBkgSgdLiE
pygame - part 12 - Move Image with Mouse Click|FwPWORMzpS4
pygame - part 13 - Add a Background Image.ogv|7o2P75YnX_o
pygame - part 4 - change background color|i1rEdG6Oeno
pygame - part 5 - add sound|k5MGulkzSxk
pygame - part 6 - KEY PRESS EVENTS|pM3XwZ0tNkw
pygame - part 7 - Mouse Button Press|VReH9L84pTA
pygame - part 8 - resize image|IT-Mi75B6hA
pygame - part 9 - control the speed of your game|uhA6B4fitH0
pygame - tutorial part 1|nnuEqzAAkHw
pygame - tutorial part 2 - load images|_1dPkU8c6VA
pygame - tutorial part 3 - animate image|yKsyuxkpxMI
pygame and the Nokia N900 - Image Manipulation|xNd1Y9TJrEI
smokebomb left overs|J9l9ZpuKdw4
sound of music audio|nV-9eX7dtjk
speakitout version 2 - Original Music By Kris Occhipinti|SqkmmY7vkns
tput - tutorial #1 colors - BASH - Linux|DxtGz2hSI00
tput - tutorial #2 letter posistioning - BASH - Linux|nwYkg6PjiT0
tput - tutorial #3 Reversing Colors - BASH - Linux|Bks2YNprze4
tput - tutorial #4 Main Menu - BASH - Linux|jTSQlIK_92w
waver_705 - Original Music By Kris Occhipinti|ehgi4yOI43Y
wedding|zqEcd1rjosI
win7|DMm_ENYiFSA
xrand - Rotate Your Screen in Linux|2vrCByqJZzU
yt-uix-sessionlink yt-uix-tile-link yt-uix-contextlink  yt-ui-ellipsis yt-ui-ellipsis-2|yt-lockup2-title
z Depth - placing one item in front of another|RwXgIMNbrQU
zenitycalendar|s-9WSrlEEE0
☠☢ UniCodes in Linux - Special Characters - gucharmap|cJNPJy7gz1Y
